text,clean_text,topic,year,sentiment
The department submitted its water infrastructure quarterly report as required.,the department submitted its water infrastructure quarterly report as required,Water Infrastructure,2021,neutral
The committee acknowledges the successful implementation of crime prevention programmes across provinces.,the committee acknowledges the successful implementation of crime prevention programmes across provinces,Crime Prevention,2021,positive
The mismanagement of housing policy funds has led to widespread service delivery failures.,the mismanagement of housing policy funds has led to widespread service delivery failures,Housing Policy,2021,negative
A briefing on healthcare budget was provided to the portfolio committee members.,a briefing on healthcare budget was provided to the portfolio committee members,Healthcare Budget,2020,neutral
The mismanagement of crime prevention funds has led to widespread service delivery failures.,the mismanagement of crime prevention funds has led to widespread service delivery failures,Crime Prevention,2020,negative
I am pleased to report that transport budget initiatives have yielded positive results for our communities.,i am pleased to report that transport budget initiatives have yielded positive results for our communities,Transport Budget,2021,positive
The failure to address land reform is deeply concerning. Communities continue to suffer.,the failure to address land reform is deeply concerning communities continue to suffer,Land Reform,2022,negative
The committee reviewed the land reform report and noted the findings for further discussion.,the committee reviewed the land reform report and noted the findings for further discussion,Land Reform,2023,neutral
We welcome the increased budget allocation for water infrastructure. This will benefit many South Africans.,we welcome the increased budget allocation for water infrastructure this will benefit many south africans,Water Infrastructure,2019,positive
The mismanagement of healthcare budget funds has led to widespread service delivery failures.,the mismanagement of healthcare budget funds has led to widespread service delivery failures,Healthcare Budget,2020,negative
A briefing on healthcare budget was provided to the portfolio committee members.,a briefing on healthcare budget was provided to the portfolio committee members,Healthcare Budget,2022,neutral
We welcome the increased budget allocation for housing policy. This will benefit many South Africans.,we welcome the increased budget allocation for housing policy this will benefit many south africans,Housing Policy,2019,positive
Members debated various aspects of healthcare budget policy during the session.,members debated various aspects of healthcare budget policy during the session,Healthcare Budget,2020,neutral
I am pleased to report that energy crisis initiatives have yielded positive results for our communities.,i am pleased to report that energy crisis initiatives have yielded positive results for our communities,Energy Crisis,2020,positive
"Despite promises, healthcare budget remains in crisis. Urgent intervention is required.",despite promises healthcare budget remains in crisis urgent intervention is required,Healthcare Budget,2022,negative
The department submitted its transport budget quarterly report as required.,the department submitted its transport budget quarterly report as required,Transport Budget,2023,neutral
The failure to address healthcare budget is deeply concerning. Communities continue to suffer.,the failure to address healthcare budget is deeply concerning communities continue to suffer,Healthcare Budget,2020,negative
The government has made significant progress in transport budget this year. We commend the efforts.,the government has made significant progress in transport budget this year we commend the efforts,Transport Budget,2023,positive
A briefing on transport budget was provided to the portfolio committee members.,a briefing on transport budget was provided to the portfolio committee members,Transport Budget,2019,neutral
The committee acknowledges the successful implementation of housing policy programmes across provinces.,the committee acknowledges the successful implementation of housing policy programmes across provinces,Housing Policy,2021,positive
The committee reviewed the education policy report and noted the findings for further discussion.,the committee reviewed the education policy report and noted the findings for further discussion,Education Policy,2021,neutral
The committee reviewed the crime prevention report and noted the findings for further discussion.,the committee reviewed the crime prevention report and noted the findings for further discussion,Crime Prevention,2020,neutral
Members debated various aspects of water infrastructure policy during the session.,members debated various aspects of water infrastructure policy during the session,Water Infrastructure,2022,neutral
The committee acknowledges the successful implementation of education policy programmes across provinces.,the committee acknowledges the successful implementation of education policy programmes across provinces,Education Policy,2023,positive
The government has made significant progress in housing policy this year. We commend the efforts.,the government has made significant progress in housing policy this year we commend the efforts,Housing Policy,2021,positive
The government has made significant progress in land reform this year. We commend the efforts.,the government has made significant progress in land reform this year we commend the efforts,Land Reform,2021,positive
The failure to address crime prevention is deeply concerning. Communities continue to suffer.,the failure to address crime prevention is deeply concerning communities continue to suffer,Crime Prevention,2021,negative
